6183 3093 2345, 8658 8943 352, 3701 6435 235, 4962 3055 3230, 3258 3023 8691, 4053 1080 1413, 1029 4123 6812, 8385 6142 1979, 7678 3765 467, 9554 7824 8744, 
-521 555 -555, -524 553 553, 486 -554 -561, -521 -555 -555, 483 559 564, 482 -564 557, -526 -552 554, 483 560 -556, 605 0 10, -367 -1 -1, 
-522 554 -555, -524 553 553, 486 -554 -561, -522 -555 -554, 483 559 564, 481 -565 557, -526 -551 553, 483 560 -556, 607 0 10, -363 -1 -1, 
-522 554 -554, -525 553 553, 486 -554 -562, -522 -555 -554, 482 559 564, 481 -565 557, -527 -551 553, 483 560 -555, 609 -1 10, -360 -1 -1, 
-523 554 -554, -525 553 553, 485 -554 -562, -523 -554 -554, 482 559 564, 481 -565 557, -528 -551 553, 482 560 -555, 612 -1 10, -356 0 0, 
-523 553 -554, -526 553 553, 485 -554 -562, -523 -554 -553, 482 559 564, 480 -565 557, -528 -551 553, 482 560 -556, 614 -2 10, -352 0 0, 
-524 553 -554, -527 552 553, 485 -554 -562, -524 -554 -553, 482 559 564, 480 -565 557, -529 -551 552, 482 560 -556, 616 -2 10, -348 0 0, 
-524 553 -554, -527 552 553, 484 -554 -562, -525 -553 -553, 481 560 564, 480 -565 557, -529 -550 552, 482 560 -556, 618 -2 10, -345 0 0, 
-525 553 -553, -528 552 552, 484 -554 -562, -525 -553 -553, 481 560 564, 480 -565 558, -530 -550 552, 482 560 -556, 620 -2 10, -341 0 0, 
-525 552 -553, -529 552 552, 484 -554 -562, -525 -553 -552, 481 560 564, 479 -565 558, -530 -550 552, 482 560 -556, 622 -3 10, -338 0 0, 
-526 552 -553, -529 552 552, 484 -555 -562, -526 -553 -552, 480 560 564, 479 -566 558, -531 -550 551, 482 560 -556, 624 -3 10, -334 0 0, 
-526 552 -553, -530 551 551, 483 -555 -562, -526 -552 -552, 480 560 564, 479 -566 558, -531 -549 551, 482 560 -556, 625 -3 10, -331 0 0, 
-526 552 -552, -530 551 551, 483 -555 -563, -527 -552 -551, 480 560 564, 479 -566 558, -532 -549 551, 482 560 -556, 627 -4 11, -327 0 0, 
-527 551 -552, -531 551 551, 483 -555 -563, -527 -552 -551, 480 560 564, 478 -566 558, -532 -549 551, 481 560 -556, 628 -4 11, -324 0 0, 
-527 551 -552, -531 551 550, 483 -555 -563, -528 -551 -551, 480 560 564, 478 -566 558, -533 -549 550, 481 560 -556, 630 -4 11, -320 0 0, 
-528 551 -552, -532 550 550, 482 -555 -563, -528 -551 -551, 480 561 564, 478 -566 558, -533 -548 550, 481 561 -556, 631 -4 11, -317 0 1, 
-528 550 -551, -532 550 550, 482 -555 -563, -529 -551 -550, 480 561 564, 478 -566 558, -534 -548 550, 481 561 -556, 632 -5 11, -314 0 1, 
-528 550 -551, -533 550 550, 482 -555 -563, -529 -551 -550, 479 561 564, 478 -566 559, -534 -548 550, 481 561 -556, 634 -5 11, -311 0 1, 
-529 550 -551, -533 550 549, 482 -555 -563, -529 -551 -550, 479 561 564, 478 -566 559, -534 -548 549, 481 561 -556, 635 -5 11, -308 0 1, 
-529 549 -551, -533 549 549, 482 -555 -563, -530 -550 -550, 479 561 564, 478 -566 559, -535 -547 549, 481 561 -556, 637 -4 11, -305 0 1, 
-529 549 -550, -533 549 549, 482 -555 -563, -530 -550 -550, 479 561 564, 478 -566 559, -535 -547 549, 481 561 -556, 638 -5 11, -303 0 1, 
-530 549 -550, -534 549 549, 482 -555 -563, -530 -550 -550, 479 561 565, 478 -566 559, -535 -547 549, 481 561 -557, 639 -5 11, -300 0 1, 
-530 549 -550, -534 549 548, 482 -555 -563, -531 -550 -549, 479 561 565, 478 -566 559, -535 -547 549, 481 561 -557, 640 -5 11, -297 0 1, 
-530 549 -550, -534 548 548, 481 -556 -563, -531 -550 -549, 479 561 565, 478 -567 559, -536 -547 548, 480 561 -557, 641 -5 11, -295 0 1, 
-531 548 -549, -535 548 548, 481 -556 -564, -531 -549 -549, 479 561 565, 478 -567 559, -536 -546 548, 480 561 -557, 642 -4 11, -292 -1 1, 
-531 548 -549, -535 548 548, 481 -556 -564, -532 -549 -549, 479 561 565, 477 -567 559, -536 -546 548, 480 561 -557, 643 -5 11, -290 -1 1, 
-531 548 -549, -535 548 548, 481 -556 -564, -532 -549 -549, 479 561 565, 477 -567 559, -537 -546 548, 480 561 -557, 644 -5 11, -288 -1 1, 
-531 548 -549, -535 548 547, 481 -556 -564, -532 -549 -549, 479 561 565, 477 -567 559, -537 -546 548, 480 562 -557, 645 -5 11, -286 -1 1, 
-531 548 -549, -535 548 547, 481 -556 -564, -533 -549 -548, 479 561 565, 477 -567 559, -537 -546 548, 480 562 -557, 646 -5 11, -284 -1 1, 
-532 547 -549, -536 547 547, 481 -556 -564, -533 -549 -548, 479 562 565, 477 -567 559, -537 -545 547, 480 562 -557, 647 -5 11, -282 -1 0, 
-532 547 -549, -536 547 547, 481 -556 -564, -533 -549 -548, 478 562 565, 477 -567 559, -537 -545 547, 480 562 -557, 647 -5 11, -280 -1 0, 
-532 547 -548, -536 547 547, 481 -556 -564, -533 -548 -548, 478 562 565, 477 -567 560, -538 -545 547, 480 562 -557, 648 -4 11, -278 -1 0, 
-532 547 -548, -536 547 546, 481 -556 -564, -533 -548 -548, 478 562 565, 477 -567 560, -538 -545 547, 480 562 -557, 649 -4 11, -276 -1 0, 
-533 546 -548, -536 547 546, 481 -556 -564, -534 -548 -548, 478 562 565, 477 -567 560, -538 -544 547, 480 562 -557, 650 -4 11, -274 -1 0, 
-533 546 -548, -537 546 546, 481 -556 -564, -534 -548 -547, 478 562 565, 477 -567 560, -538 -544 547, 480 562 -557, 650 -4 11, -272 -1 0, 
-533 546 -548, -537 546 546, 481 -556 -564, -534 -548 -547, 478 562 565, 477 -567 560, -538 -544 546, 480 562 -558, 651 -4 11, -270 -1 0, 
-533 546 -547, -537 546 546, 481 -556 -564, -534 -548 -547, 478 562 565, 477 -567 560, -538 -544 546, 480 562 -558, 652 -4 10, -267 -1 0, 
-533 546 -547, -537 546 545, 481 -556 -564, -534 -547 -547, 478 562 565, 477 -567 560, -539 -544 546, 480 563 -558, 653 -4 10, -265 -1 0, 
-534 546 -547, -538 546 545, 481 -557 -564, -535 -547 -547, 478 562 566, 477 -567 560, -539 -543 546, 480 563 -558, 654 -4 10, -263 -1 0, 
-534 545 -547, -538 545 545, 481 -557 -565, -535 -547 -546, 478 562 566, 477 -567 560, -539 -543 546, 480 563 -558, 655 -4 10, -261 -1 0, 
-534 545 -547, -538 545 545, 481 -557 -565, -535 -547 -546, 478 562 566, 477 -567 560, -539 -543 545, 480 563 -558, 656 -4 10, -258 -1 0, 
-534 545 -546, -538 545 545, 481 -557 -565, -535 -546 -546, 478 562 566, 477 -567 560, -539 -543 545, 480 563 -558, 657 -4 10, -256 -1 0, 
-534 545 -546, -538 545 544, 480 -557 -565, -535 -546 -546, 478 562 566, 477 -567 560, -540 -543 545, 480 563 -558, 658 -4 10, -254 -1 0, 
